Year,Question,PrimarySection,PrimaryName,PrimaryBook,AllSections,AllSectionNames,Reason,PNG,AnswerPNG,CandidatePerformance
2012,11,27,Nuclear Energy,Radioactivity and Nuclear Energy,27,Nuclear Energy,"keywords: energy released in the decay, energy released, nuclear equation, mev",output/lq/2012/q11.png,output/lq/2012/ans/q11.png,"Parts (a) and (b) were well answered. In (a), a few candidates wrote the equation with wrong notation. In (b), weaker candidates made mistakes in converting units like u, MeV and J. Candidates' performance in part (c) was fair. Many were weak in calculation with moles and they mixed up curie (Ci) and disintegrations per second (or Bq) when expressing the activity."
2013,1,2,Heat Capacity,Heat and Gases,2,Heat Capacity,"keywords: specific heat, heat capacity",output/lq/2013/q1.png,output/lq/2013/ans/q1.png,"This question was in general well answered. In (a), most candidates were able to calculate the energy released by the water using the equation E = mcΔT, but less able candidates failed to include the 15% energy lost during the transfer of water. In (b), most candidates were able to work out the time needed for the water temperature to drop to 60°C although some did not give their answers in hours as required. In (c), only the more able candidates gave a satisfactory explanation on why the rate of heat released by the system gradually dropped."
2013,2,1,Temperature and Heat Transfer,Heat and Gases,1,Temperature and Heat Transfer,keywords: thermometer,output/lq/2013/q2.png,output/lq/2013/ans/q2.png,"In (a), not many candidates were able to state the correct procedures to be done before taking a reading. They mentioned stirring the water but not stopping the heat. In (b)(i), many candidates managed to work out the correct numerical answer but some of them used incorrect units. In (b)(ii), the concept of absolute zero by experiment (ℓ = 0) was not well interpreted by some candidates. Many of them just stated −273°C as absolute zero without deducing the value from the data given."
2013,3,21,Circuit and Power,Electricity and Magnetism,21,Circuit and Power,"keywords: resistance; primary=max(S6,S21)",output/lq/2013/q3.png,output/lq/2013/ans/q3.png,"This question tested candidates' knowledge and understanding on work, energy and power using the example of a lift. Candidates' performance was satisfactory. Part (a) was well answered. In (b)(i), only the more able candidates worked out correctly the total mechanical power output of the motor when the counterweight was installed. Most knew that in (b)(ii) the output power required from the motor was smaller with the addition of the counterweight. Few candidates were able to explain clearly why the claim in (b)(iii) was not true. Some wrongly thought that the lift could still be raised even when the drum's surface was frictionless."
2013,4,23,Electromagnetism,Electricity and Magnetism,23,Electromagnetism,keywords: magnetic field,output/lq/2013/q4.png,output/lq/2013/ans/q4.png,"Part (a)(i) was well answered. In (a)(ii), some candidates failed to indicate the direction of the electron's acceleration at point P. In (b), many candidates were able to point out that the force was perpendicular to the electron's displacement/velocity but very few mentioned that there was no work done or that the kinetic energy remained unchanged. In (c), some candidates were able to arrive at r = mv/(qB) but they failed to deduce that v should be halved either by calculation or explanation."
2013,5,8,"Work, Energy and Power",Force and Motion,8,"Work, Energy and Power","keywords: stopping distance, height of release",output/lq/2013/q5.png,output/lq/2013/ans/q5.png,"This question required candidates to use the apparatus provided to describe an experiment to study how the stopping distance of a toy skier depends on its height of release. The general performance was poor. Only the more able candidates showed clearly in their answers the procedures taken, the physical quantities to be measured and the expected result based on the work-energy principle. Many candidates stated that the stopping distance would increase with the height of release, but without any graphical or mathematical elaboration. Quite a number of them did not make proper use of the long rough paper strip and the metre rule provided to perform the experiment."
2013,6,26,Rate of Decay and Uses of Radionuclides,Radioactivity and Nuclear Energy,26,Rate of Decay and Uses of Radionuclides,"keywords: activity; primary=max(S21,S26)",output/lq/2013/q6.png,output/lq/2013/ans/q6.png,"This question tested candidates' knowledge and understanding in Mechanics in the context of bungee jumping. The overall performance was only fair. In (a)(i), most candidates knew that the jumper was in free fall at the start. However, only the most able ones described correctly the change in acceleration after the cord began to stretch. Many candidates wrongly thought that the jumper began to decelerate once the cord stretched. In (a)(ii), most demonstrated an understanding that gravitational potential energy changed to kinetic energy during the fall. However, not many mentioned that all the gravitational potential energy changed to elastic potential energy in the cord at the lowest point. In (b), only the more able candidates explained clearly that the elastic cord lengthened the stopping time, hence reducing the net force acting on the jumper. In (c), candidates knew that contact area was larger for a 'full body harness' but few were able to apply the concept of pressure in their explanations."
2013,7,15,Interference and Stationary Wave,Wave Motion,15,Interference and Stationary Wave,"keywords: interference; primary=max(S13,S15)",output/lq/2013/q7.png,output/lq/2013/ans/q7.png,"Most candidates answered part (a) correctly although a few of them forgot to convert the unit of wavelength to metres. Some candidates were not able to demonstrate an understanding that microwaves travel at the speed of light and a few even mistook it as the speed of sound (340 m s⁻¹). In (b)(i), candidates showed an understanding that the alternate maxima and minima were due to constructive and destructive interference respectively, but very few stated the reason for this was due to variation of path difference along XY. In (b)(ii), some candidates failed to realize that the path difference concerned was 1½λ or mistook it as AP − BP. Candidates' performance in (b)(iii) was poor. Many did not count the zeroth order maximum or incorrectly stated that the order corresponding to θ = 90° could still be observed. The equation d sinθ = nλ was also incorrectly applied as the slit separation was not negligible in such a situation. In (c), most candidates knew that the diffraction effect of radio waves was more significant compared to microwaves but very few mentioned how the reflection of waves from small obstacles would be affected as a result."
2013,8,19,Lenses,Ray Optics,19,Lenses,keywords: lens,output/lq/2013/q8.png,,"Part (a) was well answered. In (b), most candidates were able to find the position of the lens and locate the focus correctly although mistakes in drawing light rays, like incorrect use of dotted/solid lines or wrong direction of rays, were common. Some candidates made mistakes in finding the focal length from the ray diagram. In (c), many seemed to be drawing light rays randomly or did not even attempt this part."
2013,9,26,Rate of Decay and Uses of Radionuclides,Radioactivity and Nuclear Energy,26,Rate of Decay and Uses of Radionuclides,"keywords: half-life, activity, decay constant",output/lq/2013/q9.png,,"In (a), candidates knew how to find the decay constant and the number of C-14 nuclei by different methods. In (c), some candidates confused N and N₀ or A and A₀, thus wrongly substituted the number of C-14 nuclei into the formula and failing to find the correct age of the wood sample."
2013,10,21,Circuit and Power,Electricity and Magnetism,21,Circuit and Power,"keywords: resistance, circuit",output/lq/2013/q10.png,output/lq/2013/ans/q10.png,"Part (a) was in general well answered. Many candidates attempted to tackle part (b) in terms of current passing through the voltmeter rather than the voltage across AB. As a result, many failed to explain precisely how the reading was affected. In (c)(i), for those who were able to find the resistance of R by considering the potential difference across the resistors, most managed to work out the correct answer. Some candidates did not attempt part (c)(ii) which involved unfamiliar situation. For those who did attempt the question, not many were able to explain the action of the circuit."
2013,11,20,Electrostatics,Electricity and Magnetism,20,Electrostatics,keywords: point charge,output/lq/2013/q11.png,,"In (a), although many candidates were able to quote the formula for calculating the electrostatic force, common mistakes included halving the electrostatic force, wrongly taking 4πε₀ = 9 × 10⁹ N m² C⁻² or r = 5 cm in substitution, drawing incorrect free-body diagrams, etc. In (b)(i), quite a number of candidates omitted this part. Some sketched the whole electric field pattern while a few wrongly identified the resultant field was pointing upwards to the positive charges. In (b)(ii), many mistook the electric potential as a vector quantity. In (b)(iii), less than half of the candidates answered this item correctly. This suggests that many candidates failed to understand the induction of charges on a conductor, and the effect of nearby charges or an electric field."
2014,1,2,Heat Capacity,Heat and Gases,2,Heat Capacity,"keywords: specific heat, heat capacity",output/lq/2014/q1.png,output/lq/2014/ans/q1.png,"This question was on an experiment to find the specific heat capacity of a metal. Parts (a) and (b) were well answered. Some weaker candidates mixed up the terms heat and temperature and failed to explain properly why the temperature of the block continued to rise after the heater was switched off. Some even confused the function of the heater and the power supply. In (c)(i), only the more able candidates identified the maximum temperature rise from the graph correctly and used the equation mcΔT = IVt to work out the answer. Candidates' performance in parts (c)(ii) and (d) were satisfactory."
2014,2,7,More about Forces,Force and Motion,7,More about Forces,keywords: equilibrium,output/lq/2014/q2.png,output/lq/2014/ans/q2.png,"This question tested candidates' knowledge and understanding on gas laws and kinetic theory. The general performance was fair. In (a), many candidates did not fully understand the relationship between pressure and volume in the context of pumping a ball. Some were able to relate the pressure with the number of gas molecules in the basketball, but failed to work out their proportional relationship with the required volume of air originally at atmospheric pressure. In (b), few candidates were able to state that both temperature and volume were constant before they went on to explain the increase of pressure inside the basketball using kinetic theory."
2014,3,5,Motion,Force and Motion,5,Motion,keywords: score-based,output/lq/2014/q3.png,output/lq/2014/ans/q3.png,"This question was on the motion of two cars travelling along a straight horizontal road and was in general well answered. In (a), most candidates described the motion of car A along the whole journey correctly. Part (b) was well answered although some weaker candidates stated the unit of acceleration wrongly in (b)(i). In (c)(i), most candidates understood that the area under a velocity-time graph represents displacement and were able to find the separation between cars A and B. In (c)(ii), only the more able ones deduced correctly the time at which car B caught up with car A using the result of (c)(i). Candidates' performance in (d) was poor. Not many obtained the correct answer using the relation P = Fv. Weaker ones even confused power with work done and some failed to handle ratio properly."
2014,4,6,Force,Force and Motion,6,Force,keywords: tension,output/lq/2014/q4.png,output/lq/2014/ans/q4.png,"This question was on force and acceleration. Candidates were required to comprehend a short passage on accelerometers as well as their use in smart phones. Candidates' performance was far from satisfactory. In (a), only the more able ones drew the free-body diagram correctly. Most failed to explain clearly that a net upward force was required when the box accelerated upward and thus the tension would be greater (than the weight) and the spring extended further (h decreased). Candidates did poorly in (b). Not many obtained the correct reading of the spring balance using the information given. Quite a number of them did not understand what quantity is being measured by a spring balance and wrongly gave their answers in metres. In (b), few candidates found the acceleration correctly using the equation T − W = ma. Some wrongly included mass m = 5 kg in their calculation. In (c), only the most able ones deduced the display mode correctly by considering the angle rotated by the phone or the component of the acceleration due to gravity along the y-axis of the phone. Many candidates were weak in resolving vectors and some were confused by the negative sign associated with the data."
2014,5,18,Refraction of Light,Ray Optics,18,Refraction of Light,keywords: refractive index,output/lq/2014/q5.png,output/lq/2014/ans/q5.png,"This question was in general well answered. In (a), most candidates were able to apply Snell's law to find the refractive index of glass although some mistook 30° and 54° as the angles of incidence and refraction respectively. Quite a number of them did not explicitly calculate the critical angle for comparison in (b). Some even wrongly thought that the angle of incidence was 60°. In (c), some candidates were not aware that the angle of incidence should be equal to the angle of reflection at Q and thus drew the reflected light ray wrongly. Weaker candidates failed to draw the correct emergent ray. Common mistakes included drawing an internally reflected light ray at the boundary BC or a light ray straight through the boundary normally. In (d), some candidates confused refraction and diffraction, visible light spectrum and line spectrum, etc."
2014,6,19,Lenses,Ray Optics,19,Lenses,keywords: lens,output/lq/2014/q6.png,output/lq/2014/ans/q6.png,"Candidates did well in part (a). In (b), many candidates overlooked the fact that the parallel rays all came from a point and wrongly drew and labelled an arrow sign as the image. A few candidates misread the focal length as 10 cm from the ray diagram. In (c), only the more able ones knew that the light rays coming from the same point should intersect at the corresponding position of the image after passing through the lens. Some candidates did not follow the requirement stated in (d) and employed an experimental method using a ray box, instead of a distant object, to determine the focal length f according to the lens formula 1/f = 1/u + 1/v."
2014,7,14,"Reflection, Refraction and Diffraction",Wave Motion,14,"Reflection, Refraction and Diffraction",keywords: diffraction,output/lq/2014/q7.png,output/lq/2014/ans/q7.png,Candidates performed well in parts (a)(i) and (ii) involving the calculations of diffraction grating. Many did not have a clear concept of percentage error in x or θ and therefore failed to score marks in (a)(iii). It seems that most candidates did not understand what part (b) asked for and gave answers like using a grating with more lines per mm.
2014,8,22,AC and Domestic Electricity,Electricity and Magnetism,22,AC and Domestic Electricity,"keywords: mains, a.c.",output/lq/2014/q8.png,output/lq/2014/ans/q8.png,"Part (a) was well answered. In (b), some weaker candidates failed to identify the resistance network involved in mode X. In (c), many candidates were able to identify overall resistance least for parallel connections but did not state that the power dissipation is inversely proportional to the resistance under the same voltage. In (d)(i), quite a number of them failed to identify the mode that corresponds to the largest operating current. In (d)(ii), most candidates knew that the switch S should be installed in the live wire, however, not many were able to point out the hazards of not doing so. Part (d)(iii) was well answered."
2014,9,24,Electromagnetic Induction,Electricity and Magnetism,24,Electromagnetic Induction,"keywords: induction, lenz",output/lq/2014/q9.png,output/lq/2014/ans/q9.png,"In (a), very few candidates scored full marks. Many of them omitted that the ring would fall back to the coil when the current as well as the resulting magnetic field are constant and eddy currents no longer flow. It seems that some candidates did not understand Lenz's law and were not able to express their answer clearly. Some even confused the apparatus with the Lenz's law apparatus – a small magnet falling through a metal tube – and wrongly stated that the law could be demonstrated by comparing the falling speed of the aluminum ring along the retort stand under different conditions, with the switch on or off. In (b)(i), quite a number of them confused the words flow and float. A few candidates failed to give precise answers and stated no change or no observation etc in (b)(ii)."
2014,10,26,Rate of Decay and Uses of Radionuclides,Radioactivity and Nuclear Energy,26,Rate of Decay and Uses of Radionuclides,"keywords: half-life, activity",output/lq/2014/q10.png,output/lq/2014/ans/q10.png,"Parts (a) and (b)(i) were well answered. It revealed that most candidates had a good understanding of the properties of α-particles and the meaning of activity. In (b)(ii), only the more able ones knew that the power is given by the product of energy per decay and the activity found in (a)(i). Some wrongly used the total number of plutonium atoms in their calculation instead of the activity. In (b), for those who considered the number of half-lives elapsed in order to find the decrease in number of active atoms or activity, many obtained the correct numerical answer."
2015,1,3,Change of State,Heat and Gases,3,Change of State,"keywords: boiling, melting, steam",output/lq/2015/q1.png,,"This question tested the variation of resistance with temperature as well as the measurement of specific heat capacity using a resistance thermometer, assuming a linear resistance-temperature relationship. Parts (a)(i)(ii) were in general well answered. In (b), some candidates confused experimental value with actual value. More able candidates were able to explain why the experimental value is lower than the actual value."
2015,2,4,Gas Law and Kinetic Theory,Heat and Gases,4,Gas Law and Kinetic Theory,fallback: gas cues,output/lq/2015/q2.png,output/lq/2015/ans/q2.png,"This question tested candidates' knowledge and understanding on gas laws. In general, candidates' performance was good. Some candidates, however, applied the equation pV = nRT without first converting the data into S.I. units, while a few did not change the temperature from Celsius scale to Kelvin scale."
2015,3,21,Circuit and Power,Electricity and Magnetism,21,Circuit and Power,keywords: resistance,output/lq/2015/q3.png,output/lq/2015/ans/q3.png,"This question was on the projectile motion of an acrobat. Candidates' performance was satisfactory. In (a), some candidates tried to solve the problem by using an equation of motion instead of conservation of energy to find v_B. Most candidates were able to apply correct equations to find the answers to (b)(i)(ii) although a few got v_x, v_y and v_B mixed up."
2015,4,5,Motion,Force and Motion,5,Motion,keywords: velocity-time,output/lq/2015/q4.png,output/lq/2015/ans/q4.png,"This question tested candidates' knowledge and understanding of motion, namely a block on an inclined plane. Candidates' performance was satisfactory. A few candidates failed to describe correctly the motion in (a), which was based on the velocity-time graph given. In (b)(i), most candidates worked out the correct acceleration using the graph but some overlooked calculating the magnitude. Part (b)(ii) was well answered. In (c), many candidates were able to draw a free-body diagram showing the forces (with labels) acting on the block as it moved up the plane. However, some candidates wrongly included the resultant force and/or the weight component along the plane (mg sin θ) in addition to mg. They also wrongly drew the direction and line of action of the frictional force. Part (d) was poorly answered. Only the most able candidates were able to set up correctly two equations for the forces acting on the block as it decelerated up and accelerated down the inclined plane."
2015,5,6,Force,Force and Motion,6,Force,"keywords: protractor, metal ball with a hook, measure the acceleration",output/lq/2015/q5.png,output/lq/2015/ans/q5.png,This question required candidates to describe how to measure the acceleration of a train using the apparatus provided. Their general performance was poor. Many of them did not mention procedures such as connecting the ends of the string to the metal ball and to the hole of the protractor. Only the most able ones showed an understanding of the proper orientation of the protractor and the correct position of the string when the metal ball accelerated forward with the train (inclined to the vertical at angle θ in the opposite direction). Some candidates did not mention the measurement to be taken and they just stated the result a = g tan θ without the mathematical derivation required.
2015,6,19,Lenses,Ray Optics,19;18,Lenses; Refraction of Light,keywords: lens; dual with S18 (significant earlier part),output/lq/2015/q6.png,output/lq/2015/ans/q6.png,"This question was based on a passage describing the formation of a mirage. The situation was unfamiliar to candidates and their general performance was unsatisfactory. In (a), few were able to state correctly an essential condition for a mirage to be observed based on the information given. Parts (b)(i)(ii) were well answered. A few candidates did not know how to find the value of θ₁ in (b)(i) using the relation n sin θ = constant. Candidates answered part (c) poorly. Only the most able ones explained correctly why the 'water source' remained a distance L away."
2015,7,15,Interference and Stationary Wave,Wave Motion,15,Interference and Stationary Wave,keywords: interference,output/lq/2015/q7.png,output/lq/2015/ans/q7.png,"Part (a) was well answered. Some candidates made mistakes in converting units when calculating the fringe separation. In (b), few candidates realized that interference did occur but was unobservable as the sources were incoherent. Many thought that an interference pattern with smaller fringe separation formed would occur as the source separation was greater. Some confused phase and coherence, and stated 'the interference was unobservable because they were out of phase'. Quite a number of them sketched straight lines instead of curves for the antinodal lines in (c). In (d)(i), more than half of the candidates incorrectly read the value of y even though correct antinodal lines were drawn as they might have overlooked the scale (10 mm per division) given. Part (d)(ii) was poorly answered as most candidates did not know the geometrical constraints in estimating the fringe separation."
2015,8,21,Circuit and Power,Electricity and Magnetism,21,Circuit and Power,keywords: resistance,output/lq/2015/q8.png,,"This question was well answered. In (a), a significant number of candidates misunderstood the phrase 'per km' and therefore wrongly divided the resistance by 1000 m. Some confused surface area with cross-sectional area and thus failed to find the correct answer. In (a)(iii), many candidates did not realise that electric shock is essentially due to the large amount of current passing through the body but not merely because of high voltage. Few were able to mention that negligible current would pass through the bird's body. Quite a number of them wrongly thought that the cable was covered with insulating material. Answers like 'The potential difference across the bird is zero' or 'There is no current passing through the bird's body' were common. Part (b) was well answered. A few candidates forgot to multiply the resistance per km (0.05 Ω km⁻¹) by 10 km in (b)(ii). In (b)(iii), the terms stated by some candidates were not precise, for example, 'cable' was used instead of 'wire', 'sliced iron' was used instead of 'laminated core' etc."
2015,9,24,Electromagnetic Induction,Electricity and Magnetism,24,Electromagnetic Induction,"keywords: faraday; primary=max(S7,S23,S24)",output/lq/2015/q9.png,output/lq/2015/ans/q9.png,"In (a), some candidates tried to explain the direction of the electromagnetic force acting on the rod rather than to describe its subsequent motion. In (b)(i), most were able to apply the definition of moment (F × d) to solve this problem but many of them failed to identify the correct value of d and ended up with an incorrect numerical answer. Some candidates did not convert cm into m in their calculations. Incorrect equation (e.g. B = μ₀I/(2πr)) or unit (e.g. Bq, Wb) were quoted in (b)(ii). In (c)(i), some candidates treated the rod as a bar magnet and sketched the field pattern wrongly. Common errors included incorrect direction of field lines, none of the field lines crossed the rod or uniform field patterns. Not many were able to state that the rod performs circular motion in an anti-clockwise direction in (c)(ii)."
2015,10,27,Nuclear Energy,Radioactivity and Nuclear Energy,27,Nuclear Energy,"keywords: fusion, energy released, mev, nucleus",output/lq/2015/q10.png,output/lq/2015/ans/q10.png,"Candidates only did well in (a). A few candidates had difficulty in dealing with the units eV and J. In (b)(i), not many knew that the energy used for overcoming the repulsion between the two positive nuclei became electrical potential energy. Some wrongly thought that it turned into kinetic energy, heat or nuclear energy. In (b)(iii), most candidates failed to relate the average kinetic energy of the nuclei to the large amount of work done needed. A few even wrongly employed E = 17.58 MeV in (a) in their calculations."
2016,1,2,Heat Capacity,Heat and Gases,2,Heat Capacity,"keywords: specific heat, heat capacity",output/lq/2016/q1.png,output/lq/2016/ans/q1.png,"In (a), many candidates failed to figure out how to raise the temperature of the sphere to 80 °C by using the water bath given. Some mistook the towel for insulation of the polystyrene cup rather than drying the sphere. Candidates' performance in (b) was satisfactory though some of them failed to point out that the temperature rise of water is lower than it should be."
2016,2,4,Gas Law and Kinetic Theory,Heat and Gases,4,Gas Law and Kinetic Theory,"keywords: gas molecules, pressure of the gas",output/lq/2016/q2.png,output/lq/2016/ans/q2.png,"This question tested candidates' knowledge and understanding on gas laws. The general performance was fair. In (a), most candidates were able to find the number of moles though some of them failed to get the final answer which is the number of gas molecules. Some had a misconception in (b)(i) that the gas temperature could be kept constant by wrapping the syringe with an insulator. In (b)(ii), quite a number of them wrongly thought that V₀ is the volume of gas at absolute zero or under infinite pressure. Part (b)(iii) was well answered."
2016,3,5,Motion,Force and Motion,5,Motion,keywords: velocity-time,output/lq/2016/q3.png,output/lq/2016/ans/q3.png,"This was a typical question on kinematics involving apparent weight. Candidates' performance was satisfactory. Parts (a) and (b) were well answered. In (c)(i), some candidates failed to verify the result as they made mistakes in the sign of acceleration in the calculation. Most were able to obtain the answer in (c)(ii)."
2016,4,6,Force,Force and Motion,6,Force,"keywords: newton, free-body",output/lq/2016/q4.png,output/lq/2016/ans/q4.png,"This question tested candidates' knowledge and understanding of Newton's laws of motion via an unfamiliar situation. Candidates' performance was poor. In (a), few candidates knew that the momentum change of water requires a net force from the jetpack and as a result of an action-and-reaction pair an equal and opposite supporting force is produced. Many had a misconception that this force comes from the interaction between the water ejected from the jetpack and the water surface. More than half of the candidates managed to draw the correct free-body diagram in (b). Some had difficulty in applying F = Δp/Δt to find F in (c)(i) as the directions of water flow needed to be considered. In (c)(ii), a few candidates did not know what mechanical energy consists of. Candidates' performance in (c)(iii) was unsatisfactory. Quite a number of them suggested that a greater power is required for the person to stay at a higher position."
2016,5,19,Lenses,Ray Optics,19,Lenses,"keywords: lens, object distance",output/lq/2016/q5.png,output/lq/2016/ans/q5.png,"Candidates performed well in (a)(i). In answering (a)(ii), many candidates merely memorized the image formed by a convex lens without considering the observer's position. Part (b) was in general well answered. Some candidates made mistakes in reading the distance D from the graph. Quite a number of them did not realize that the object and image distances could be interchanged in (b)(iv). Many mistook the magnification of the new image as the height ratio regarding the two situations involved."
2016,6,13,Wave Motion,Wave Motion,13,Wave Motion,"keywords: wavelength; primary=max(S10,S13)",output/lq/2016/q6.png,output/lq/2016/ans/q6.png,"Although most candidates applied the correct formula to find λ in (a)(i), many made mistakes in getting the fringe separation from the pattern given or in converting the units. In (a)(ii), quite a number of the candidates confused slit width with slit separation. Not many pointed out explicitly that the diffracted waves from the slits have to overlap for interference to occur. Some candidates wrongly applied Δy = λD/a to find the separation between bright spots in (b)(i). Candidates' performance in (b)(ii) was poor. The patterns drawn were either with uniform separation between bright spots, not symmetrical about the centre or without the central bright spot."
2016,7,21,Circuit and Power,Electricity and Magnetism,21,Circuit and Power,"keywords: series, resistance, circuit",output/lq/2016/q7.png,output/lq/2016/ans/q7.png,"This question tested candidates' understanding of the loading effect of meters in simple circuits. Candidates' performance in (a) was satisfactory. In (a)(i), some candidates took the product of the total current and the resistance of the resistor concerned as the voltmeter reading. Most candidates knew that the finite internal resistance of the voltmeter introduced error to the measurement but few understood how to work out the problem mathematically. Some candidates in (a)(ii) failed to state explicitly that the resistance of the voltmeter should be 'much higher' than that of the part under measurement. In (b)(i), many candidates wrongly held that both voltmeter and ammeter readings are not true values for the resistor concerned. Not many obtained the correct percentage error in R in (b)(ii)."
2016,8,20,Electrostatics,Electricity and Magnetism,20,Electrostatics,keywords: electric field,output/lq/2016/q8.png,output/lq/2016/ans/q8.png,"Candidates' performance in this question was fair. Most were able to comprehend the given passage on lightning and answered part (a) correctly. In (b)(i), some candidates confused the magnetic field due to the lightning current with that due to the induced current flowing in the square coil. For those who had attempted (b)(ii), most were able to point out that the induced current would oppose the changing magnetic field, but some forgot to explain why there is such a decreasing/increasing magnetic field in the first place. Many overlooked the hint 'fore-warning' in (b)(iii) and thus failed to distinguish which quantity could be measured 'before' lightning takes place."
