Year,Question,Primary,AllSections,Reason,PNG,AnswerPNG
2015,5,6,6,"keywords: protractor, metal ball with a hook, measure the acceleration",output/lq/2015/q5.png,output/lq/2015/ans/q5.png
2015,6,19,19;18,keywords: lens; dual with S18 (significant earlier part),output/lq/2015/q6.png,output/lq/2015/ans/q6.png
2015,7,15,15,keywords: interference,output/lq/2015/q7.png,output/lq/2015/ans/q7.png
2015,8,21,21,keywords: resistance,output/lq/2015/q8.png,
2015,9,24,24,"keywords: faraday; primary=max(S7,S23,S24)",output/lq/2015/q9.png,output/lq/2015/ans/q9.png
2015,10,27,27,"keywords: fusion, energy released, mev, nucleus",output/lq/2015/q10.png,output/lq/2015/ans/q10.png
2016,1,2,2,"keywords: specific heat, heat capacity",output/lq/2016/q1.png,output/lq/2016/ans/q1.png
2016,2,4,4,"keywords: gas molecules, pressure of the gas",output/lq/2016/q2.png,output/lq/2016/ans/q2.png
2016,3,5,5,keywords: velocity-time,output/lq/2016/q3.png,output/lq/2016/ans/q3.png
2016,4,6,6,"keywords: newton, free-body",output/lq/2016/q4.png,output/lq/2016/ans/q4.png
2016,5,19,19,"keywords: lens, object distance",output/lq/2016/q5.png,output/lq/2016/ans/q5.png
2016,6,13,13,"keywords: wavelength; primary=max(S10,S13)",output/lq/2016/q6.png,output/lq/2016/ans/q6.png
2016,7,21,21,"keywords: series, resistance, circuit",output/lq/2016/q7.png,output/lq/2016/ans/q7.png
2016,8,20,20,keywords: electric field,output/lq/2016/q8.png,output/lq/2016/ans/q8.png
2016,9,27,27;26,"keywords: uranium, nucleus; dual with S26 (significant earlier part)",output/lq/2016/q9.png,output/lq/2016/ans/q9.png
2017,1,6,6,"keywords: score-based; primary=max(S1,S6)",output/lq/2017/q1.png,output/lq/2017/ans/q1.png
2017,2,9,9,keywords: score-based,output/lq/2017/q2.png,output/lq/2017/ans/q2.png
2017,3,4,4,"keywords: kinetic theory, gas molecules, monatomic gas, avogadro",output/lq/2017/q3.png,
2017,4,21,21,"keywords: resistance; primary=max(S10,S21)",output/lq/2017/q4.png,
2017,5,6,6,fallback: force cues,output/lq/2017/q5.png,output/lq/2017/ans/q5.png
2017,6,13,13;5,"keywords: wave speed, frequency; dual with S5 (significant earlier part)",output/lq/2017/q6.png,
2017,7,18,18,"keywords: refractive index, critical angle",output/lq/2017/q7.png,output/lq/2017/ans/q7.png
2017,8,21,21,"keywords: resistance, circuit",output/lq/2017/q8.png,
2017,9,23,23,keywords: magnetic field,output/lq/2017/q9.png,output/lq/2017/ans/q9.png
2017,10,27,27;26,"keywords: nuclear equation, mev, nucleus; dual with S26 (significant earlier part)",output/lq/2017/q10.png,output/lq/2017/ans/q10.png
2018,1,2,2,"keywords: specific heat, heat capacity",output/lq/2018/q1.png,output/lq/2018/ans/q1.png
2018,2,4,4,keywords: ideal gas,output/lq/2018/q2.png,output/lq/2018/ans/q2.png
2018,3,8,8,"keywords: kinetic energy; primary=max(S6,S8)",output/lq/2018/q3.png,output/lq/2018/ans/q3.png
2018,4,9,9,keywords: momentum,output/lq/2018/q4.png,output/lq/2018/ans/q4.png
2018,5,7,7,keywords: equilibrium,output/lq/2018/q5.png,output/lq/2018/ans/q5.png
2018,6,19,19,"keywords: lens, focal length, concave lens",output/lq/2018/q6.png,output/lq/2018/ans/q6.png
2018,7,14,14,keywords: diffraction,output/lq/2018/q7.png,output/lq/2018/ans/q7.png
2018,8,22,22,"keywords: mains, fuse, domestic",output/lq/2018/q8.png,output/lq/2018/ans/q8.png
2018,9,24,24,keywords: generator,output/lq/2018/q9.png,output/lq/2018/ans/q9.png
2018,10,26,26,"keywords: half-life; primary=max(S6,S26)",output/lq/2018/q10.png,output/lq/2018/ans/q10.png
2019,1,3,3;2,"keywords: latent heat, fusion, ice at 0; dual with S2 (significant earlier part)",output/lq/2019/q1.png,output/lq/2019/ans/q1.png
2019,2,4,4,fallback: gas cues,output/lq/2019/q2.png,output/lq/2019/ans/q2.png
2019,3,21,21,keywords: resistance,output/lq/2019/q3.png,output/lq/2019/ans/q3.png
2019,4,11,11,"keywords: centripetal; primary=max(S6,S11)",output/lq/2019/q4.png,output/lq/2019/ans/q4.png
2019,5,14,14,"keywords: ripple tank; primary=max(S13,S14)",output/lq/2019/q5.png,output/lq/2019/ans/q5.png
2019,6,19,19,keywords: lens,output/lq/2019/q6.png,output/lq/2019/ans/q6.png
2019,7,21,21,"keywords: resistance, circuit",output/lq/2019/q7.png,output/lq/2019/ans/q7.png
2019,8,22,22,"keywords: mains, fuse, live wire, neutral wire",output/lq/2019/q8.png,output/lq/2019/ans/q8.png
2019,9,23,23,keywords: magnetic field,output/lq/2019/q9.png,output/lq/2019/ans/q9.png
2019,10,27,27,"keywords: fission, mev, uranium",output/lq/2019/q10.png,output/lq/2019/ans/q10.png
2020,1,2,2,"keywords: specific heat, heat capacity",output/lq/2020/q1.png,output/lq/2020/ans/q1.png
2020,2,4,4,"keywords: ideal gas, mole",output/lq/2020/q2.png,output/lq/2020/ans/q2.png
2020,3,23,23,"keywords: magnetic field; primary=max(S21,S23)",output/lq/2020/q3.png,output/lq/2020/ans/q3.png
2020,4,21,21,keywords: resistance,output/lq/2020/q4.png,output/lq/2020/ans/q4.png
2020,5,6,6,fallback: force cues,output/lq/2020/q5.png,output/lq/2020/ans/q5.png
2020,6,16,16,keywords: speed of sound,output/lq/2020/q6.png,output/lq/2020/ans/q6.png
2020,7,18,18,"keywords: refractive index, critical angle",output/lq/2020/q7.png,output/lq/2020/ans/q7.png
2020,8,22,22,"keywords: fuse; primary=max(S21,S22)",output/lq/2020/q8.png,output/lq/2020/ans/q8.png
2020,9,20,20,"keywords: electric field; primary=max(S6,S20)",output/lq/2020/q9.png,output/lq/2020/ans/q9.png
2020,10,27,27,"keywords: mev, nucleus; primary=max(S8,S27)",output/lq/2020/q10.png,output/lq/2020/ans/q10.png
2021,1,3,3;2,"keywords: latent heat, vaporization, boiling; dual with S2 (significant earlier part)",output/lq/2021/q1.png,output/lq/2021/ans/q1.png
2021,2,16,16,keywords: speed of sound,output/lq/2021/q2.png,output/lq/2021/ans/q2.png
2021,3,8,8,keywords: work done,output/lq/2021/q3.png,output/lq/2021/ans/q3.png
2021,4,21,21,"keywords: resistance; primary=max(S7,S21)",output/lq/2021/q4.png,
2021,5,21,21,"keywords: resistance; primary=max(S12,S21)",output/lq/2021/q5.png,
2021,6,19,19;18,keywords: lens; dual with S18 (significant earlier part),output/lq/2021/q6.png,output/lq/2021/ans/q6.png
2021,7,24,24,"keywords: induction; primary=max(S6,S8,S21,S23,S24)",output/lq/2021/q7.png,output/lq/2021/ans/q7.png
2021,8,21,21,"keywords: resistance, circuit",output/lq/2021/q8.png,output/lq/2021/ans/q8.png
2021,9,26,26,keywords: half-life,output/lq/2021/q9.png,output/lq/2021/ans/q9.png
2022,1,1,1,keywords: thermometer,output/lq/2022/q1.png,output/lq/2022/ans/q1.png
2022,2,4,4,"keywords: gas molecules, monatomic gas",output/lq/2022/q2.png,output/lq/2022/ans/q2.png
2022,3,6,6,keywords: newton,output/lq/2022/q3.png,output/lq/2022/ans/q3.png
2022,4,21,21,"keywords: resistance; primary=max(S8,S21)",output/lq/2022/q4.png,output/lq/2022/ans/q4.png
2022,5,19,19,"keywords: lens, convex lens",output/lq/2022/q5.png,output/lq/2022/ans/q5.png
2022,6,16,16,"keywords: sound wave, microphone",output/lq/2022/q6.png,output/lq/2022/ans/q6.png
2022,7,23,23,keywords: magnetic field,output/lq/2022/q7.png,output/lq/2022/ans/q7.png
2022,8,21,21,"keywords: resistance, circuit",output/lq/2022/q8.png,output/lq/2022/ans/q8.png
2022,9,23,23,"keywords: magnetic field; primary=max(S21,S23)",output/lq/2022/q9.png,output/lq/2022/ans/q9.png
2022,10,27,27,"keywords: fission, fusion, mev, nucleus",output/lq/2022/q10.png,output/lq/2022/ans/q10.png
2023,1,2,2,"keywords: specific heat, heat capacity",output/lq/2023/q1.png,output/lq/2023/ans/q1.png
2023,2,4,4,keywords: kinetic theory,output/lq/2023/q2.png,output/lq/2023/ans/q2.png
2023,3,5,5,keywords: velocity-time,output/lq/2023/q3.png,output/lq/2023/ans/q3.png
2023,4,11,11,"keywords: centripetal, angular speed",output/lq/2023/q4.png,output/lq/2023/ans/q4.png
2023,5,16,16,"keywords: sound wave, speed of sound",output/lq/2023/q5.png,output/lq/2023/ans/q5.png
2023,6,18,18,"keywords: refractive index, total internal reflection, critical angle",output/lq/2023/q6.png,output/lq/2023/ans/q6.png
2023,7,21,21,"keywords: resistance, circuit",output/lq/2023/q7.png,output/lq/2023/ans/q7.png
2023,8,23,23,keywords: magnetic field,output/lq/2023/q8.png,output/lq/2023/ans/q8.png
2023,9,27,27;26,"keywords: radium, nucleus; dual with S26 (significant earlier part)",output/lq/2023/q9.png,output/lq/2023/ans/q9.png
2024,1,3,3,"keywords: latent heat, vaporization",output/lq/2024/q1.png,output/lq/2024/ans/q1.png
2024,2,4,4,keywords: monatomic gas,output/lq/2024/q2.png,output/lq/2024/ans/q2.png
2024,3,6,6,keywords: free-body,output/lq/2024/q3.png,output/lq/2024/ans/q3.png
2024,4,11,11,keywords: angular speed,output/lq/2024/q4.png,output/lq/2024/ans/q4.png
2024,5,4,4,fallback: gas cues,output/lq/2024/q5.png,output/lq/2024/ans/q5.png
2024,6,14,14,keywords: diffraction,output/lq/2024/q6.png,output/lq/2024/ans/q6.png
2024,7,16,16,keywords: speed of sound,output/lq/2024/q7.png,output/lq/2024/ans/q7.png
2024,8,18,18,keywords: refractive index,output/lq/2024/q8.png,output/lq/2024/ans/q8.png
2024,9,5,5,fallback: weak keyword match -> Motion,output/lq/2024/q9.png,output/lq/2024/ans/q9.png
2024,10,9,9,"keywords: momentum, collision, conservation of momentum",output/lq/2024/q10.png,output/lq/2024/ans/q10.png
2024,11,21,21,"keywords: resistance, circuit",output/lq/2024/q11.png,output/lq/2024/ans/q11.png
2024,12,26,26,"keywords: half-life, activity, decay constant",output/lq/2024/q12.png,output/lq/2024/ans/q12.png
2025,1,2,2,"keywords: specific heat, heat capacity",output/lq/2025/q1.png,output/lq/2025/ans/q1.png
2025,2,21,21,"keywords: resistance; primary=max(S8,S10,S21)",output/lq/2025/q2.png,output/lq/2025/ans/q2.png
2025,3,5,5,keywords: velocity-time,output/lq/2025/q3.png,output/lq/2025/ans/q3.png
2025,4,6,6,keywords: free-body,output/lq/2025/q4.png,output/lq/2025/ans/q4.png
2025,5,9,9,keywords: collision,output/lq/2025/q5.png,output/lq/2025/ans/q5.png
2025,6,19,19,"keywords: lens, focal length, magnification",output/lq/2025/q6.png,output/lq/2025/ans/q6.png
2025,7,21,21,"keywords: resistance, circuit",output/lq/2025/q7.png,output/lq/2025/ans/q7.png
2025,8,23,23,keywords: magnetic field,output/lq/2025/q8.png,output/lq/2025/ans/q8.png
2025,9,4,4,"keywords: ideal gas, number of molecules, mole",output/lq/2025/q9.png,output/lq/2025/ans/q9.png
2025,10,15,15,keywords: stationary wave,output/lq/2025/q10.png,output/lq/2025/ans/q10.png
2025,11,21,21,"keywords: resistance; primary=max(S8,S21)",output/lq/2025/q11.png,output/lq/2025/ans/q11.png
2025,12,26,26,"keywords: activity, decay constant",output/lq/2025/q12.png,output/lq/2025/ans/q12.png
2026,1,3,3,"keywords: latent heat, fusion, boiling, melting",output/lq/2026/q1.png,
2026,2,4,4,"keywords: ideal gas, gas molecules, pressure of the gas",output/lq/2026/q2.png,
2026,3,9,9,keywords: collision,output/lq/2026/q3.png,
2026,4,8,8,keywords: conservation of energy,output/lq/2026/q4.png,
2026,5,15,15;13,keywords: interference; dual with S13 (significant earlier part),output/lq/2026/q5.png,
2026,6,16,16,keywords: microphone,output/lq/2026/q6.png,
2026,7,20,20,"keywords: electrostatic; primary=max(S6,S20)",output/lq/2026/q7.png,
2026,8,21,21,keywords: resistance,output/lq/2026/q8.png,
2026,9,4,4,keywords: r.m.s.,output/lq/2026/q9.png,
2026,10,18,18,"keywords: refractive index, critical angle",output/lq/2026/q10.png,
2026,11,5,5,"keywords: velocity-time, displacement-time",output/lq/2026/q11.png,
2026,12,27,27;25,keywords: nuclear equation; dual with S25 (significant earlier part),output/lq/2026/q12.png,
pp,1,4,4,fallback: gas cues,output/lq/pp/q1.png,
pp,2,8,8,"keywords: kinetic energy, power",output/lq/pp/q2.png,
pp,3,10,10,"keywords: projectile, horizontal range, angle of projection",output/lq/pp/q3.png,
pp,4,5,5,fallback: weak keyword match -> Motion,output/lq/pp/q4.png,
pp,5,13,13,keywords: wavelength,output/lq/pp/q5.png,
pp,6,24,24,"keywords: generator; primary=max(S16,S24)",output/lq/pp/q6.png,
pp,7,24,24,keywords: generator,output/lq/pp/q7.png,
pp,8,22,22,"keywords: mains, domestic, live wire, neutral wire",output/lq/pp/q8.png,
pp,9,5,5,fallback: weak keyword match -> Motion,output/lq/pp/q9.png,
pp,10,5,5,fallback: weak keyword match -> Motion,output/lq/pp/q10.png,
pp,11,21,21,keywords: resistance,output/lq/pp/q11.png,
pp,12,24,24,"keywords: transformer; primary=max(S22,S24)",output/lq/pp/q12.png,
